# trial_index,allocated_resources
0,10
1,10
2,5
3,5
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,10
12,10
13,5
14,5
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,10
30,2
31,5
32,5
33,7
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,10
47,2
48,5
49,5
50,7
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,10
62,10
63,5
64,5
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,10
77,10
78,5
79,5
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,10
96,2
97,5
98,5
99,7
100,1
101,0
102,0
103,0
104,0
105,0
106,10
107,10
108,5
109,5
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,10
124,10
125,5
126,5
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,10
137,2
138,5
139,5
140,5
141,1
142,1
143,1
144,0
145,0
146,0
147,10
148,2
149,5
150,5
151,8
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,10
164,10
165,5
166,5
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,10
184,2
185,5
186,5
187,7
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,10
202,10
203,5
204,5
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,10
220,10
221,5
222,5
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,10
238,10
239,0
240,10
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,10
256,10
257,5
258,5
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,10
272,2
273,5
274,5
275,7
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,10
284,10
285,5
286,5
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,10
303,10
304,5
305,5
306,0
307,0
308,0
309,0
310,0
