# trial_index,allocated_resources
0,8
1,9
2,3
3,3
4,6
5,0
6,0
7,1
8,0
9,0
10,5
11,9
12,9
13,3
14,1
15,2
16,1
17,0
18,0
19,0
20,5
21,9
22,9
23,7
24,0
25,0
26,0
27,0
28,0
29,0
30,10
31,9
32,10
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,5
41,9
42,9
43,7
44,0
45,0
46,0
47,0
48,0
49,0
50,10
51,4
52,7
53,2
54,4
55,2
56,0
57,0
58,0
59,0
60,9
61,5
62,7
63,7
64,0
65,2
66,0
67,0
68,0
69,0
70,10
71,5
72,5
73,7
74,3
75,0
76,0
77,0
78,0
79,0
80,5
81,9
82,5
83,5
84,0
85,6
86,0
87,0
88,0
89,0
90,8
91,9
92,3
93,3
94,6
95,0
96,0
97,1
98,0
99,0
100,5
101,9
102,9
103,3
104,1
105,2
106,1
107,0
108,0
109,0
110,5
111,9
112,9
113,7
114,0
115,0
116,0
117,0
118,0
119,0
120,10
121,9
122,10
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,5
131,9
132,9
133,7
134,0
135,0
136,0
137,0
138,0
139,0
140,10
141,4
142,7
143,2
144,4
145,2
146,0
147,0
148,0
149,0
150,9
151,5
152,7
153,7
154,0
155,2
156,0
157,0
158,0
159,0
160,10
161,5
162,5
163,7
164,3
165,0
166,0
167,0
168,0
169,0
170,5
171,9
172,5
173,5
174,0
175,6
176,0
177,0
178,0
179,0
180,8
181,9
182,3
183,3
184,6
185,0
186,0
187,1
188,0
189,0
190,5
191,9
192,9
193,3
194,1
195,2
196,1
197,0
198,0
199,0
200,5
201,9
202,9
203,7
204,0
205,0
206,0
207,0
208,0
209,0
210,10
211,9
212,10
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,5
221,9
222,9
223,7
224,0
225,0
226,0
227,0
228,0
229,0
230,10
231,4
232,7
233,2
234,4
235,2
236,0
237,0
238,0
239,0
240,9
241,5
242,7
243,7
244,0
245,2
246,0
247,0
248,0
249,0
250,10
251,5
252,5
253,7
254,3
255,0
256,0
257,0
258,0
259,0
260,5
261,9
262,5
263,5
264,0
265,6
266,0
267,0
268,0
269,0
270,8
271,9
272,3
273,3
274,6
275,0
276,0
277,1
278,0
279,0
280,5
281,9
282,9
283,3
284,1
285,2
286,1
287,0
288,0
289,0
290,5
291,9
292,9
293,7
294,0
295,0
296,0
297,0
298,0
299,0
300,10
301,9
302,10
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,5
311,9
312,9
313,7
314,0
315,0
316,0
317,0
318,0
319,0
320,10
321,4
322,7
323,2
324,4
325,2
326,0
327,0
328,0
329,0
330,9
331,5
332,7
333,7
334,0
335,2
336,0
337,0
338,0
339,0
340,10
341,5
342,5
343,7
344,3
345,0
346,0
347,0
348,0
349,0
350,5
351,9
352,5
353,5
354,0
355,6
356,0
357,0
358,0
359,0
360,8
361,9
362,3
363,3
364,6
365,0
366,0
367,1
368,0
369,0
370,5
371,9
372,9
373,3
374,1
375,2
376,1
377,0
378,0
379,0
380,5
381,9
382,9
383,7
384,0
385,0
386,0
387,0
388,0
389,0
390,10
391,9
392,10
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,5
401,9
402,9
403,7
404,0
405,0
406,0
407,0
408,0
409,0
410,10
411,4
412,7
413,2
414,4
415,2
416,0
417,0
418,0
419,0
420,9
421,5
422,7
423,7
424,0
425,2
426,0
427,0
428,0
429,0
430,10
431,5
432,5
433,7
434,3
435,0
436,0
437,0
438,0
439,0
440,5
441,9
442,5
443,5
444,0
445,6
446,0
447,0
448,0
449,0
450,8
451,9
452,3
453,3
454,6
455,0
456,0
457,1
458,0
459,0
460,5
461,9
462,9
463,3
464,1
465,2
466,1
467,0
468,0
469,0
470,5
471,9
472,9
473,7
474,0
475,0
476,0
477,0
478,0
479,0
480,10
481,9
482,10
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,5
491,9
492,9
493,7
494,0
495,0
496,0
497,0
498,0
499,0
500,10
501,4
502,7
503,2
504,4
505,2
506,0
507,0
508,0
509,0
510,9
511,5
512,7
513,7
514,0
515,2
516,0
517,0
518,0
519,0
520,10
521,5
522,5
523,7
524,3
525,0
526,0
527,0
528,0
529,0
530,5
531,9
532,5
533,5
534,0
535,6
536,0
537,0
538,0
539,0
540,8
541,9
542,3
543,3
544,6
545,0
546,0
547,1
548,0
549,0
550,5
551,9
552,9
553,3
554,1
555,2
556,1
557,0
558,0
559,0
560,5
561,9
562,9
563,7
564,0
565,0
566,0
567,0
568,0
569,0
570,10
571,9
572,10
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,5
581,9
582,9
583,7
584,0
585,0
586,0
587,0
588,0
589,0
590,10
591,4
592,7
593,2
594,4
595,2
596,0
597,0
598,0
599,0
600,9
601,5
602,7
603,7
604,0
605,2
606,0
607,0
608,0
609,0
610,10
611,5
612,5
613,7
614,3
615,0
616,0
617,0
618,0
619,0
620,5
621,9
622,5
623,5
624,0
625,6
626,0
627,0
628,0
629,0
630,8
631,9
632,3
633,3
634,6
635,0
636,0
637,1
638,0
639,0
