#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             6.0,        6, 0.09820814727134772,                5.0,                  5.0
             4.0,        9, 0.22766453646330176,  4.751775555552621,                  5.0
             5.0,        3, 0.25276401915165864,  3.868545493072215,                  5.0
             8.0,        1, 0.5418282154015285,                0.0,                  0.0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             2.0,        9, 0.09011330116995199,                5.0,                  5.0
             3.0,       10, 0.27404938812039703, 3.7517755555526207,                  5.0
             2.0,        1, 0.7109242800553771,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.10168214108041884,                5.0,                  5.0
             3.0,        9, 0.0959600680667985,                5.0,                  5.0
             6.0,        7, 0.14093409222694295,                5.0,                  5.0
             6.0,        3, 0.3287966331049933,  2.868545493072215,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             5.0,        1, 0.7109242800553772,                0.0,                  0.0
             3.0,       10, 0.08896463054053791,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             3.0,       10, 0.27404938812039703, 3.7517755555526207,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             5.0,        0,         -1,                0.0,                  0.0
             3.0,       10, 0.08896463054053791,                5.0,                  5.0
             5.0,        6, 0.06863567701935556,                5.0,                  5.0
             7.0,        9, 0.06018959541704587,                5.0,                  5.0
             4.0,        5, 0.2527640191516585,  3.868545493072215,                  5.0
             3.0,       10, 0.08896463054053791,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             8.0,       10, 0.21640504139712247,  4.751775555552621,                  5.0
             8.0,        1, 0.7109242800553772,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.12636211437308892,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             2.0,        8, 0.1958698186970919,                5.0,                  5.0
             6.0,        3, 0.42185432195813083, 0.8685454930722153,   1.3913274627127126
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             3.0,       10, 0.27404938812039703, 3.7517755555526207,                  5.0
             4.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             6.0,        6, 0.09820814727134772,                5.0,                  5.0
             4.0,        9, 0.22766453646330176,  4.751775555552621,                  5.0
             5.0,        3, 0.25276401915165864,  3.868545493072215,                  5.0
             8.0,        1, 0.5418282154015285,                0.0,                  0.0
             8.0,        1, 0.7109242800553772,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        9, 0.10813169520940155,                5.0,                  5.0
             5.0,       10, 0.08782152525374953,                5.0,                  5.0
